OBJECTID,VACCINATION_DATE,Gender,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative
432,2021/03/21 15:00:00+00,Male,8853,586687,2995,283308,158,27690
433,2021/03/22 15:00:00+00,Male,14735,601422,4715,288023,358,28048
434,2021/03/23 15:00:00+00,Male,17481,618903,6947,294970,673,28721
435,2021/03/24 15:00:00+00,Male,18809,637712,8408,303378,590,29311
436,2021/03/25 15:00:00+00,Male,19444,657156,8421,311799,1069,30380
437,2021/03/26 15:00:00+00,Male,16728,673884,10347,322146,994,31374
438,2021/03/27 15:00:00+00,Male,12565,686449,6933,329079,1115,32489
439,2021/03/28 15:00:00+00,Male,7971,694420,5372,334451,780,33269
440,2021/03/29 15:00:00+00,Male,13906,708326,10858,345309,494,33763
441,2021/03/30 15:00:00+00,Male,18806,727132,11708,357017,812,34575
442,2021/03/31 15:00:00+00,Male,19240,746372,14613,371630,2601,37176
443,2021/04/01 15:00:00+00,Male,18959,765331,16331,387961,2588,39764
444,2021/04/02 15:00:00+00,Male,16152,781483,13570,401531,2701,42465
445,2021/04/03 15:00:00+00,Male,10086,791569,7996,409527,1988,44453
446,2021/04/04 15:00:00+00,Male,3923,795492,4506,414033,465,44918
447,2021/04/05 15:00:00+00,Male,12698,808190,12560,426593,3204,48122
448,2021/04/06 15:00:00+00,Male,18810,827000,13327,439920,5039,53161
449,2021/04/07 15:00:00+00,Male,16998,843998,14767,454687,6019,59180
450,2021/04/08 15:00:00+00,Male,19980,863978,15541,470228,6816,65996
451,2021/04/09 15:00:00+00,Male,15611,879589,15777,486005,7111,73107
452,2021/04/10 15:00:00+00,Male,11111,890700,10090,496095,3705,76812
453,2021/04/11 15:00:00+00,Male,8404,899104,6000,502095,5245,82057
454,2021/04/12 15:00:00+00,Male,11634,910738,14726,516821,5472,87529
455,2021/04/13 15:00:00+00,Male,20561,931299,16431,533252,173,87702
456,2021/04/14 15:00:00+00,Male,19550,950849,16924,550176,100,87802
457,2021/04/15 15:00:00+00,Male,19856,970705,17139,567315,77,87879
458,2021/04/16 15:00:00+00,Male,17440,988145,16587,583902,5,87884
459,2021/04/17 15:00:00+00,Male,15224,1003369,9547,593449,3,87887
460,2021/04/18 15:00:00+00,Male,9551,1012920,7563,601012,1,87888
461,2021/04/19 15:00:00+00,Male,13912,1026832,15854,616866,21,87909
462,2021/04/20 15:00:00+00,Male,14399,1041231,18785,635651,19,87928
463,2021/04/21 15:00:00+00,Male,18338,1059569,19652,655303,11,87939
464,2021/04/22 15:00:00+00,Male,17430,1076999,17934,673237,13,87952
465,2021/04/23 15:00:00+00,Male,15409,1092408,17214,690451,11,87963
466,2021/04/24 15:00:00+00,Male,13372,1105780,12873,703324,55,88018
467,2021/04/25 15:00:00+00,Male,9802,1115582,3785,707109,12,88030
468,2021/04/26 15:00:00+00,Male,12766,1128348,14006,721115,99,88129
469,2021/04/27 15:00:00+00,Male,13194,1141542,15175,736290,673,88802
470,2021/04/28 15:00:00+00,Male,13955,1155497,18118,754408,834,89636
471,2021/04/29 15:00:00+00,Male,13090,1168587,17510,771918,864,90500
472,2021/04/30 15:00:00+00,Male,13287,1181874,14143,786061,970,91470
473,2021/05/01 15:00:00+00,Male,8890,1190764,10587,796648,607,92077
474,2021/05/02 15:00:00+00,Male,4710,1195474,7158,803806,494,92571
475,2021/05/03 15:00:00+00,Male,6530,1202004,12456,816262,1131,93702
476,2021/05/04 15:00:00+00,Male,6642,1208646,18023,834285,1056,94758
477,2021/05/05 15:00:00+00,Male,8998,1217644,17084,851369,1165,95923
478,2021/05/06 15:00:00+00,Male,8404,1226048,18134,869503,1028,96951
479,2021/05/07 15:00:00+00,Male,8429,1234477,15873,885376,1148,98099
480,2021/05/08 15:00:00+00,Male,5196,1239673,13926,899302,820,98919
481,2021/05/09 15:00:00+00,Male,2611,1242284,5677,904979,450,99369
482,2021/05/10 15:00:00+00,Male,4233,1246517,13820,918799,779,100148
483,2021/05/11 15:00:00+00,Male,5750,1252267,13911,932710,852,101000
484,2021/05/12 15:00:00+00,Male,6570,1258837,17449,950159,1123,102123
485,2021/05/13 15:00:00+00,Male,10107,1268944,15590,965749,782,102905
486,2021/05/14 15:00:00+00,Male,11303,1280247,12995,978744,1036,103941
487,2021/05/15 15:00:00+00,Male,10106,1290353,10878,989622,861,104802
488,2021/05/16 15:00:00+00,Male,4258,1294611,8234,997856,688,105490
489,2021/05/17 15:00:00+00,Male,7462,1302073,11121,1008977,1072,106562
490,2021/05/18 15:00:00+00,Male,6599,1308672,9800,1018777,708,107270
491,2021/05/19 15:00:00+00,Male,5932,1314604,7762,1026539,574,107844
