OBJECTID,VACCINATION_DATE,County,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative,AtLeastOneDose,FullyVaccinated,FullVaccinatedCumulative,AtLeastOneDoseCumulative
1,2020/12/14 15:00:00+00,Baltimore                                         ,1,1,,0,,0,,,0,1
2,2020/12/15 15:00:00+00,Baltimore                                         ,2,3,1,1,,0,,,1,3
3,2020/12/16 15:00:00+00,Baltimore                                         ,122,125,,1,,0,,,1,125
4,2020/12/17 15:00:00+00,Baltimore                                         ,191,316,,1,,0,,,1,316
5,2020/12/18 15:00:00+00,Baltimore                                         ,444,760,1,2,,0,,,2,760
6,2020/12/19 15:00:00+00,Baltimore                                         ,137,897,,2,,0,,,2,897
7,2020/12/20 15:00:00+00,Baltimore                                         ,64,961,2,4,,0,,,4,961
8,2020/12/21 15:00:00+00,Baltimore                                         ,579,1540,,4,,0,,,4,1540
9,2020/12/22 15:00:00+00,Baltimore                                         ,1027,2567,,4,,0,,,4,2567
10,2020/12/23 15:00:00+00,Baltimore                                         ,1172,3739,1,5,,0,,,5,3739
11,2020/12/24 15:00:00+00,Baltimore                                         ,623,4362,1,6,,0,,,6,4362
12,2020/12/25 15:00:00+00,Baltimore                                         ,33,4395,,6,,0,,,6,4395
13,2020/12/26 15:00:00+00,Baltimore                                         ,304,4699,1,7,,0,,,7,4699
14,2020/12/27 15:00:00+00,Baltimore                                         ,318,5017,1,8,,0,,,8,5017
15,2020/12/28 15:00:00+00,Baltimore                                         ,1591,6608,5,13,,0,,,13,6608
16,2020/12/29 15:00:00+00,Baltimore                                         ,1991,8599,1,14,,0,,,14,8599
17,2020/12/30 15:00:00+00,Baltimore                                         ,1748,10347,3,17,,0,,,17,10347
18,2020/12/31 15:00:00+00,Baltimore                                         ,1055,11402,,17,,0,,,17,11402
19,2021/01/01 15:00:00+00,Baltimore                                         ,257,11659,1,18,,0,,,18,11659
20,2021/01/02 15:00:00+00,Baltimore                                         ,570,12229,4,22,,0,,,22,12229
21,2021/01/03 15:00:00+00,Baltimore                                         ,914,13143,15,37,,0,,,37,13143
22,2021/01/04 15:00:00+00,Baltimore                                         ,2022,15165,61,98,,0,,,98,15165
23,2021/01/05 15:00:00+00,Baltimore                                         ,2171,17336,90,188,,0,,,188,17336
24,2021/01/06 15:00:00+00,Baltimore                                         ,2224,19560,187,375,,0,,,375,19560
25,2021/01/07 15:00:00+00,Baltimore                                         ,2429,21989,294,669,,0,,,669,21989
26,2021/01/08 15:00:00+00,Baltimore                                         ,2151,24140,349,1018,,0,,,1018,24140
27,2021/01/09 15:00:00+00,Baltimore                                         ,381,24521,138,1156,,0,,,1156,24521
28,2021/01/10 15:00:00+00,Baltimore                                         ,382,24903,41,1197,,0,,,1197,24903
29,2021/01/11 15:00:00+00,Baltimore                                         ,3378,28281,543,1740,,0,,,1740,28281
30,2021/01/12 15:00:00+00,Baltimore                                         ,3946,32227,907,2647,,0,,,2647,32227
31,2021/01/13 15:00:00+00,Baltimore                                         ,3184,35411,885,3532,,0,,,3532,35411
32,2021/01/14 15:00:00+00,Baltimore                                         ,2850,38261,387,3919,,0,,,3919,38261
33,2021/01/15 15:00:00+00,Baltimore                                         ,2096,40357,248,4167,,0,,,4167,40357
34,2021/01/16 15:00:00+00,Baltimore                                         ,653,41010,257,4424,,0,,,4424,41010
35,2021/01/17 15:00:00+00,Baltimore                                         ,435,41445,283,4707,,0,,,4707,41445
36,2021/01/18 15:00:00+00,Baltimore                                         ,878,42323,267,4974,,0,,,4974,42323
37,2021/01/19 15:00:00+00,Baltimore                                         ,3369,45692,984,5958,,0,,,5958,45692
38,2021/01/20 15:00:00+00,Baltimore                                         ,3806,49498,834,6792,,0,,,6792,49498
39,2021/01/21 15:00:00+00,Baltimore                                         ,3714,53212,715,7507,,0,,,7507,53212
40,2021/01/22 15:00:00+00,Baltimore                                         ,4647,57859,596,8103,,0,,,8103,57859
41,2021/01/23 15:00:00+00,Baltimore                                         ,1292,59151,306,8409,,0,,,8409,59151
42,2021/01/24 15:00:00+00,Baltimore                                         ,288,59439,520,8929,,0,,,8929,59439
43,2021/01/25 15:00:00+00,Baltimore                                         ,3149,62588,1636,10565,,0,,,10565,62588
44,2021/01/26 15:00:00+00,Baltimore                                         ,2492,65080,1743,12308,,0,,,12308,65080
45,2021/01/27 15:00:00+00,Baltimore                                         ,4026,69106,1819,14127,,0,,,14127,69106
46,2021/01/28 15:00:00+00,Baltimore                                         ,2615,71721,1392,15519,,0,,,15519,71721
47,2021/01/29 15:00:00+00,Baltimore                                         ,2303,74024,1429,16948,,0,,,16948,74024
48,2021/01/30 15:00:00+00,Baltimore                                         ,3333,77357,419,17367,,0,,,17367,77357
49,2021/01/31 15:00:00+00,Baltimore                                         ,566,77923,213,17580,,0,,,17580,77923
50,2021/02/01 15:00:00+00,Baltimore                                         ,1374,79297,939,18519,,0,,,18519,79297
51,2021/02/02 15:00:00+00,Baltimore                                         ,1244,80541,2459,20978,,0,,,20978,80541
52,2021/02/03 15:00:00+00,Baltimore                                         ,1774,82315,3931,24909,,0,,,24909,82315
53,2021/02/04 15:00:00+00,Baltimore                                         ,2918,85233,2541,27450,,0,,,27450,85233
54,2021/02/05 15:00:00+00,Baltimore                                         ,3478,88711,2393,29843,,0,,,29843,88711
55,2021/02/06 15:00:00+00,Baltimore                                         ,3246,91957,623,30466,,0,,,30466,91957
56,2021/02/07 15:00:00+00,Baltimore                                         ,1515,93472,251,30717,,0,,,30717,93472
57,2021/02/08 15:00:00+00,Baltimore                                         ,2021,95493,2836,33553,,0,,,33553,95493
58,2021/02/09 15:00:00+00,Baltimore                                         ,1852,97345,2653,36206,,0,,,36206,97345
59,2021/02/10 15:00:00+00,Baltimore                                         ,2310,99655,3061,39267,,0,,,39267,99655
60,2021/02/11 15:00:00+00,Baltimore                                         ,3131,102786,3216,42483,,0,,,42483,102786
61,2021/02/12 15:00:00+00,Baltimore                                         ,2866,105652,2149,44632,,0,,,44632,105652
62,2021/02/13 15:00:00+00,Baltimore                                         ,3211,108863,751,45383,,0,,,45383,108863
63,2021/02/14 15:00:00+00,Baltimore                                         ,668,109531,220,45603,,0,,,45603,109531
64,2021/02/15 15:00:00+00,Baltimore                                         ,1188,110719,3556,49159,,0,,,49159,110719
65,2021/02/16 15:00:00+00,Baltimore                                         ,1640,112359,4331,53490,,0,,,53490,112359
66,2021/02/17 15:00:00+00,Baltimore                                         ,1631,113990,4278,57768,,0,,,57768,113990
67,2021/02/18 15:00:00+00,Baltimore                                         ,350,114340,549,58317,,0,,,58317,114340
68,2021/02/19 15:00:00+00,Baltimore                                         ,1036,115376,2559,60876,,0,,,60876,115376
69,2021/02/20 15:00:00+00,Baltimore                                         ,1303,116679,3390,64266,,0,,,64266,116679
70,2021/02/21 15:00:00+00,Baltimore                                         ,546,117225,677,64943,,0,,,64943,117225
71,2021/02/22 15:00:00+00,Baltimore                                         ,896,118121,2857,67800,,0,,,67800,118121
72,2021/02/23 15:00:00+00,Baltimore                                         ,3178,121299,1830,69630,,0,,,69630,121299
73,2021/02/24 15:00:00+00,Baltimore                                         ,3152,124451,2121,71751,,0,,,71751,124451
74,2021/02/25 15:00:00+00,Baltimore                                         ,1877,126328,4384,76135,,0,,,76135,126328
75,2021/02/26 15:00:00+00,Baltimore                                         ,3526,129854,4508,80643,,0,,,80643,129854
76,2021/02/27 15:00:00+00,Baltimore                                         ,2126,131980,3023,83666,,0,,,83666,131980
77,2021/02/28 15:00:00+00,Baltimore                                         ,1951,133931,788,84454,,0,,,84454,133931
78,2021/03/01 15:00:00+00,Baltimore                                         ,3929,137860,1596,86050,,0,,,86050,137860
79,2021/03/02 15:00:00+00,Baltimore                                         ,2596,140456,1931,87981,1,1,2597,1932,87982,140457
80,2021/03/03 15:00:00+00,Baltimore                                         ,4865,145321,1977,89958,3,4,4868,1980,89962,145325
81,2021/03/04 15:00:00+00,Baltimore                                         ,4448,149769,3010,92968,753,757,5201,3763,93725,150526
82,2021/03/05 15:00:00+00,Baltimore                                         ,3328,153097,3141,96109,588,1345,3916,3729,97454,154442
83,2021/03/06 15:00:00+00,Baltimore                                         ,2150,155247,2661,98770,787,2132,2937,3448,100902,157379
84,2021/03/07 15:00:00+00,Baltimore                                         ,1748,156995,604,99374,1594,3726,3342,2198,103100,160721
85,2021/03/08 15:00:00+00,Baltimore                                         ,3924,160919,757,100131,1020,4746,4944,1777,104877,165665
86,2021/03/09 15:00:00+00,Baltimore                                         ,2948,163867,1262,101393,961,5707,3909,2223,107100,169574
87,2021/03/10 15:00:00+00,Baltimore                                         ,4446,168313,1513,102906,1124,6831,5570,2637,109737,175144
88,2021/03/11 15:00:00+00,Baltimore                                         ,4284,172597,1492,104398,313,7144,4597,1805,111542,179741
89,2021/03/12 15:00:00+00,Baltimore                                         ,4754,177351,1978,106376,164,7308,4918,2142,113684,184659
90,2021/03/13 15:00:00+00,Baltimore                                         ,3821,181172,1312,107688,69,7377,3890,1381,115065,188549
91,2021/03/14 15:00:00+00,Baltimore                                         ,2423,183595,834,108522,27,7404,2450,861,115926,190999
92,2021/03/15 15:00:00+00,Baltimore                                         ,4785,188380,1231,109753,27,7431,4812,1258,117184,195811
93,2021/03/16 15:00:00+00,Baltimore                                         ,3422,191802,1159,110912,98,7529,3520,1257,118441,199331
94,2021/03/17 15:00:00+00,Baltimore                                         ,5587,197389,1339,112251,207,7736,5794,1546,119987,205125
95,2021/03/18 15:00:00+00,Baltimore                                         ,6473,203862,1383,113634,138,7874,6611,1521,121508,211736
96,2021/03/19 15:00:00+00,Baltimore                                         ,4954,208816,1676,115310,139,8013,5093,1815,123323,216829
97,2021/03/20 15:00:00+00,Baltimore                                         ,2950,211766,1198,116508,103,8116,3053,1301,124624,219882
98,2021/03/21 15:00:00+00,Baltimore                                         ,2796,214562,849,117357,78,8194,2874,927,125551,222756
99,2021/03/22 15:00:00+00,Baltimore                                         ,4453,219015,1322,118679,98,8292,4551,1420,126971,227307
100,2021/03/23 15:00:00+00,Baltimore                                         ,4159,223174,3453,122132,156,8448,4315,3609,130580,231622
101,2021/03/24 15:00:00+00,Baltimore                                         ,3847,227021,3855,125987,174,8622,4021,4029,134609,235643
102,2021/03/25 15:00:00+00,Baltimore                                         ,6590,233611,2354,128341,217,8839,6807,2571,137180,242450
103,2021/03/26 15:00:00+00,Baltimore                                         ,3864,237475,3380,131721,148,8987,4012,3528,140708,246462
104,2021/03/27 15:00:00+00,Baltimore                                         ,5215,242690,1758,133479,132,9119,5347,1890,142598,251809
105,2021/03/28 15:00:00+00,Baltimore                                         ,1967,244657,1487,134966,47,9166,2014,1534,144132,253823
106,2021/03/29 15:00:00+00,Baltimore                                         ,2545,247202,3966,138932,122,9288,2667,4088,148220,256490
107,2021/03/30 15:00:00+00,Baltimore                                         ,6412,253614,3560,142492,224,9512,6636,3784,152004,263126
108,2021/03/31 15:00:00+00,Baltimore                                         ,3976,257590,5228,147720,401,9913,4377,5629,157633,267503
109,2021/04/01 15:00:00+00,Baltimore                                         ,5868,263458,5846,153566,501,10414,6369,6347,163980,273872
110,2021/04/02 15:00:00+00,Baltimore                                         ,3423,266881,3740,157306,600,11014,4023,4340,168320,277895
111,2021/04/03 15:00:00+00,Baltimore                                         ,2400,269281,2446,159752,309,11323,2709,2755,171075,280604
112,2021/04/04 15:00:00+00,Baltimore                                         ,1122,270403,1249,161001,107,11430,1229,1356,172431,281833
113,2021/04/05 15:00:00+00,Baltimore                                         ,2826,273229,4212,165213,871,12301,3697,5083,177514,285530
114,2021/04/06 15:00:00+00,Baltimore                                         ,7201,280430,3293,168506,1237,13538,8438,4530,182044,293968
115,2021/04/07 15:00:00+00,Baltimore                                         ,3305,283735,4971,173477,1535,15073,4840,6506,188550,298808
116,2021/04/08 15:00:00+00,Baltimore                                         ,6497,290232,4005,177482,1601,16674,8098,5606,194156,306906
117,2021/04/09 15:00:00+00,Baltimore                                         ,2977,293209,4832,182314,1394,18068,4371,6226,200382,311277
118,2021/04/10 15:00:00+00,Baltimore                                         ,1950,295159,3268,185582,734,18802,2684,4002,204384,313961
119,2021/04/11 15:00:00+00,Baltimore                                         ,1810,296969,1537,187119,3732,22534,5542,5269,209653,319503
120,2021/04/12 15:00:00+00,Baltimore                                         ,2485,299454,4579,191698,1221,23755,3706,5800,215453,323209
121,2021/04/13 15:00:00+00,Baltimore                                         ,6711,306165,3850,195548,45,23800,6756,3895,219348,329965
122,2021/04/14 15:00:00+00,Baltimore                                         ,4594,310759,5320,200868,1,23801,4595,5321,224669,334560
123,2021/04/15 15:00:00+00,Baltimore                                         ,3445,314204,5816,206684,,23801,,,230485,338005
124,2021/04/16 15:00:00+00,Baltimore                                         ,3511,317715,4481,211165,1,23802,3512,4482,234967,341517
125,2021/04/17 15:00:00+00,Baltimore                                         ,5851,323566,2041,213206,,23802,,,237008,347368
126,2021/04/18 15:00:00+00,Baltimore                                         ,1515,325081,1908,215114,,23802,,,238916,348883
127,2021/04/19 15:00:00+00,Baltimore                                         ,2703,327784,4867,219981,,23802,,,243783,351586
128,2021/04/20 15:00:00+00,Baltimore                                         ,2916,330700,6047,226028,3,23805,2919,6050,249833,354505
129,2021/04/21 15:00:00+00,Baltimore                                         ,6697,337397,4390,230418,,23805,,,254223,361202
130,2021/04/22 15:00:00+00,Baltimore                                         ,3368,340765,6348,236766,,23805,,,260571,364570
131,2021/04/23 15:00:00+00,Baltimore                                         ,3597,344362,3480,240246,,23805,,,264051,368167
132,2021/04/24 15:00:00+00,Baltimore                                         ,2572,346934,4839,245085,2,23807,2574,4841,268892,370741
133,2021/04/25 15:00:00+00,Baltimore                                         ,3158,350092,754,245839,3,23810,3161,757,269649,373902
134,2021/04/26 15:00:00+00,Baltimore                                         ,2899,352991,4710,250549,13,23823,2912,4723,274372,376814
135,2021/04/27 15:00:00+00,Baltimore                                         ,2717,355708,5435,255984,77,23900,2794,5512,279884,379608
136,2021/04/28 15:00:00+00,Baltimore                                         ,4774,360482,3536,259520,119,24019,4893,3655,283539,384501
137,2021/04/29 15:00:00+00,Baltimore                                         ,3262,363744,6042,265562,122,24141,3384,6164,289703,387885
138,2021/04/30 15:00:00+00,Baltimore                                         ,3623,367367,3149,268711,167,24308,3790,3316,293019,391675
139,2021/05/01 15:00:00+00,Baltimore                                         ,2790,370157,2359,271070,90,24398,2880,2449,295468,394555
140,2021/05/02 15:00:00+00,Baltimore                                         ,922,371079,1774,272844,83,24481,1005,1857,297325,395560
141,2021/05/03 15:00:00+00,Baltimore                                         ,1588,372667,2988,275832,195,24676,1783,3183,300508,397343
142,2021/05/04 15:00:00+00,Baltimore                                         ,1559,374226,6853,282685,264,24940,1823,7117,307625,399166
143,2021/05/05 15:00:00+00,Baltimore                                         ,2190,376416,4488,287173,275,25215,2465,4763,312388,401631
144,2021/05/06 15:00:00+00,Baltimore                                         ,1809,378225,3415,290588,221,25436,2030,3636,316024,403661
145,2021/05/07 15:00:00+00,Baltimore                                         ,2035,380260,3217,293805,298,25734,2333,3515,319539,405994
146,2021/05/08 15:00:00+00,Baltimore                                         ,1167,381427,4363,298168,197,25931,1364,4560,324099,407358
147,2021/05/09 15:00:00+00,Baltimore                                         ,721,382148,1447,299615,102,26033,823,1549,325648,408181
148,2021/05/10 15:00:00+00,Baltimore                                         ,1118,383266,3508,303123,218,26251,1336,3726,329374,409517
149,2021/05/11 15:00:00+00,Baltimore                                         ,1519,384785,2711,305834,227,26478,1746,2938,332312,411263
150,2021/05/12 15:00:00+00,Baltimore                                         ,1816,386601,6368,312202,224,26702,2040,6592,338904,413303
151,2021/05/13 15:00:00+00,Baltimore                                         ,2555,389156,2713,314915,272,26974,2827,2985,341889,416130
152,2021/05/14 15:00:00+00,Baltimore                                         ,2547,391703,3144,318059,296,27270,2843,3440,345329,418973
153,2021/05/15 15:00:00+00,Baltimore                                         ,2821,394524,2360,320419,168,27438,2989,2528,347857,421962
154,2021/05/16 15:00:00+00,Baltimore                                         ,1412,395936,2745,323164,107,27545,1519,2852,350709,423481
155,2021/05/17 15:00:00+00,Baltimore                                         ,2093,398029,2816,325980,257,27802,2350,3073,353782,425831
156,2021/05/18 15:00:00+00,Baltimore                                         ,2544,400573,2966,328946,282,28084,2826,3248,357030,428657
157,2021/05/19 15:00:00+00,Baltimore                                         ,3880,404453,4724,333670,177,28261,4057,4901,361931,432714
158,2021/05/20 15:00:00+00,Baltimore                                         ,2537,406990,3422,337092,228,28489,2765,3650,365581,435479
159,2021/05/21 15:00:00+00,Baltimore                                         ,2351,409341,3806,340898,196,28685,2547,4002,369583,438026
160,2021/05/22 15:00:00+00,Baltimore                                         ,1978,411319,3028,343926,126,28811,2104,3154,372737,440130
161,2021/05/23 15:00:00+00,Baltimore                                         ,1323,412642,1081,345007,94,28905,1417,1175,373912,441547
162,2021/05/24 15:00:00+00,Baltimore                                         ,1665,414307,1828,346835,253,29158,1918,2081,375993,443465
163,2021/05/25 15:00:00+00,Baltimore                                         ,1829,416136,1759,348594,173,29331,2002,1932,377925,445467
164,2021/05/26 15:00:00+00,Baltimore                                         ,3080,419216,2082,350676,250,29581,3330,2332,380257,448797
165,2021/05/27 15:00:00+00,Baltimore                                         ,1543,420759,2032,352708,130,29711,1673,2162,382419,450470
166,2021/05/28 15:00:00+00,Baltimore                                         ,1769,422528,2320,355028,172,29883,1941,2492,384911,452411
167,2021/05/29 15:00:00+00,Baltimore                                         ,1129,423657,1104,356132,107,29990,1236,1211,386122,453647
168,2021/05/30 15:00:00+00,Baltimore                                         ,741,424398,805,356937,69,30059,810,874,386996,454457
169,2020/12/14 15:00:00+00,Anne Arundel                                      ,2,2,,0,,0,,,0,2
170,2020/12/15 15:00:00+00,Anne Arundel                                      ,2,4,,0,,0,,,0,4
171,2020/12/16 15:00:00+00,Anne Arundel                                      ,54,58,,0,,0,,,0,58
172,2020/12/17 15:00:00+00,Anne Arundel                                      ,100,158,,0,,0,,,0,158
173,2020/12/18 15:00:00+00,Anne Arundel                                      ,169,327,,0,,0,,,0,327
174,2020/12/19 15:00:00+00,Anne Arundel                                      ,42,369,,0,,0,,,0,369
175,2020/12/20 15:00:00+00,Anne Arundel                                      ,6,375,,0,,0,,,0,375
176,2020/12/21 15:00:00+00,Anne Arundel                                      ,288,663,,0,,0,,,0,663
177,2020/12/22 15:00:00+00,Anne Arundel                                      ,411,1074,,0,,0,,,0,1074
178,2020/12/23 15:00:00+00,Anne Arundel                                      ,375,1449,1,1,,0,,,1,1449
179,2020/12/24 15:00:00+00,Anne Arundel                                      ,235,1684,2,3,,0,,,3,1684
180,2020/12/25 15:00:00+00,Anne Arundel                                      ,24,1708,,3,,0,,,3,1708
181,2020/12/26 15:00:00+00,Anne Arundel                                      ,164,1872,,3,,0,,,3,1872
182,2020/12/27 15:00:00+00,Anne Arundel                                      ,101,1973,,3,,0,,,3,1973
183,2020/12/28 15:00:00+00,Anne Arundel                                      ,606,2579,,3,,0,,,3,2579
184,2020/12/29 15:00:00+00,Anne Arundel                                      ,805,3384,,3,,0,,,3,3384
185,2020/12/30 15:00:00+00,Anne Arundel                                      ,853,4237,1,4,,0,,,4,4237
186,2020/12/31 15:00:00+00,Anne Arundel                                      ,569,4806,1,5,,0,,,5,4806
187,2021/01/01 15:00:00+00,Anne Arundel                                      ,206,5012,2,7,,0,,,7,5012
188,2021/01/02 15:00:00+00,Anne Arundel                                      ,159,5171,,7,,0,,,7,5171
189,2021/01/03 15:00:00+00,Anne Arundel                                      ,209,5380,1,8,,0,,,8,5380
190,2021/01/04 15:00:00+00,Anne Arundel                                      ,1180,6560,15,23,,0,,,23,6560
191,2021/01/05 15:00:00+00,Anne Arundel                                      ,884,7444,19,42,,0,,,42,7444
192,2021/01/06 15:00:00+00,Anne Arundel                                      ,1228,8672,71,113,,0,,,113,8672
193,2021/01/07 15:00:00+00,Anne Arundel                                      ,1432,10104,111,224,,0,,,224,10104
194,2021/01/08 15:00:00+00,Anne Arundel                                      ,1686,11790,186,410,,0,,,410,11790
195,2021/01/09 15:00:00+00,Anne Arundel                                      ,300,12090,47,457,,0,,,457,12090
196,2021/01/10 15:00:00+00,Anne Arundel                                      ,437,12527,12,469,,0,,,469,12527
197,2021/01/11 15:00:00+00,Anne Arundel                                      ,1393,13920,284,753,,0,,,753,13920
198,2021/01/12 15:00:00+00,Anne Arundel                                      ,1582,15502,401,1154,,0,,,1154,15502
199,2021/01/13 15:00:00+00,Anne Arundel                                      ,1525,17027,297,1451,,0,,,1451,17027
200,2021/01/14 15:00:00+00,Anne Arundel                                      ,1393,18420,114,1565,,0,,,1565,18420
201,2021/01/15 15:00:00+00,Anne Arundel                                      ,1641,20061,94,1659,,0,,,1659,20061
202,2021/01/16 15:00:00+00,Anne Arundel                                      ,505,20566,132,1791,,0,,,1791,20566
203,2021/01/17 15:00:00+00,Anne Arundel                                      ,355,20921,45,1836,,0,,,1836,20921
204,2021/01/18 15:00:00+00,Anne Arundel                                      ,1666,22587,292,2128,,0,,,2128,22587
205,2021/01/19 15:00:00+00,Anne Arundel                                      ,2171,24758,578,2706,,0,,,2706,24758
206,2021/01/20 15:00:00+00,Anne Arundel                                      ,2069,26827,486,3192,,0,,,3192,26827
207,2021/01/21 15:00:00+00,Anne Arundel                                      ,2222,29049,410,3602,,0,,,3602,29049
208,2021/01/22 15:00:00+00,Anne Arundel                                      ,2157,31206,337,3939,,0,,,3939,31206
209,2021/01/23 15:00:00+00,Anne Arundel                                      ,670,31876,80,4019,,0,,,4019,31876
210,2021/01/24 15:00:00+00,Anne Arundel                                      ,527,32403,54,4073,,0,,,4073,32403
211,2021/01/25 15:00:00+00,Anne Arundel                                      ,1537,33940,904,4977,,0,,,4977,33940
212,2021/01/26 15:00:00+00,Anne Arundel                                      ,1528,35468,876,5853,,0,,,5853,35468
213,2021/01/27 15:00:00+00,Anne Arundel                                      ,1858,37326,943,6796,,0,,,6796,37326
214,2021/01/28 15:00:00+00,Anne Arundel                                      ,1793,39119,778,7574,,0,,,7574,39119
215,2021/01/29 15:00:00+00,Anne Arundel                                      ,1719,40838,924,8498,,0,,,8498,40838
216,2021/01/30 15:00:00+00,Anne Arundel                                      ,1099,41937,139,8637,,0,,,8637,41937
217,2021/01/31 15:00:00+00,Anne Arundel                                      ,411,42348,301,8938,,0,,,8938,42348
218,2021/02/01 15:00:00+00,Anne Arundel                                      ,721,43069,300,9238,,0,,,9238,43069
219,2021/02/02 15:00:00+00,Anne Arundel                                      ,1256,44325,1542,10780,,0,,,10780,44325
220,2021/02/03 15:00:00+00,Anne Arundel                                      ,1477,45802,2081,12861,,0,,,12861,45802
221,2021/02/04 15:00:00+00,Anne Arundel                                      ,1651,47453,1907,14768,,0,,,14768,47453
222,2021/02/05 15:00:00+00,Anne Arundel                                      ,1428,48881,1500,16268,,0,,,16268,48881
223,2021/02/06 15:00:00+00,Anne Arundel                                      ,802,49683,950,17218,,0,,,17218,49683
224,2021/02/07 15:00:00+00,Anne Arundel                                      ,298,49981,86,17304,,0,,,17304,49981
225,2021/05/31 15:00:00+00,Baltimore                                         ,244,424642,371,357308,42,30101,286,413,387409,454743
226,2021/06/01 15:00:00+00,Baltimore                                         ,1450,426092,2213,359521,161,30262,1611,2374,389783,456354
227,2021/06/02 15:00:00+00,Baltimore                                         ,1229,427321,1765,361286,139,30401,1368,1904,391687,457722
228,2021/06/03 15:00:00+00,Baltimore                                         ,1135,428456,2357,363643,162,30563,1297,2519,394206,459019
229,2021/06/04 15:00:00+00,Baltimore                                         ,1227,429683,2393,366036,143,30706,1370,2536,396742,460389
230,2021/06/05 15:00:00+00,Baltimore                                         ,1083,430766,2675,368711,119,30825,1202,2794,399536,461591
231,2021/06/06 15:00:00+00,Baltimore                                         ,520,431286,901,369612,55,30880,575,956,400492,462166
232,2021/06/07 15:00:00+00,Baltimore                                         ,969,432255,1932,371544,133,31013,1102,2065,402557,463268
233,2021/06/08 15:00:00+00,Baltimore                                         ,945,433200,2540,374084,114,31127,1059,2654,405211,464327
234,2021/06/09 15:00:00+00,Baltimore                                         ,811,434011,2844,376928,104,31231,915,2948,408159,465242
235,2021/06/10 15:00:00+00,Baltimore                                         ,820,434831,1850,378778,112,31343,932,1962,410121,466174
236,2021/06/11 15:00:00+00,Baltimore                                         ,403,435234,1299,380077,103,31446,506,1402,411523,466680
237,2021/06/12 15:00:00+00,Baltimore                                         ,412,435646,1295,381372,36,31482,448,1331,412854,467128
238,2021/06/13 15:00:00+00,Baltimore                                         ,82,435728,434,381806,20,31502,102,454,413308,467230
239,2020/12/15 15:00:00+00,Baltimore City                                    ,3,3,,0,,0,,,0,3
240,2020/12/16 15:00:00+00,Baltimore City                                    ,162,165,,0,,0,,,0,165
241,2020/12/17 15:00:00+00,Baltimore City                                    ,233,398,,0,,0,,,0,398
242,2020/12/18 15:00:00+00,Baltimore City                                    ,357,755,,0,,0,,,0,755
243,2020/12/19 15:00:00+00,Baltimore City                                    ,82,837,,0,,0,,,0,837
244,2020/12/20 15:00:00+00,Baltimore City                                    ,42,879,,0,,0,,,0,879
245,2020/12/21 15:00:00+00,Baltimore City                                    ,511,1390,,0,,0,,,0,1390
246,2020/12/22 15:00:00+00,Baltimore City                                    ,562,1952,1,1,,0,,,1,1952
247,2020/12/23 15:00:00+00,Baltimore City                                    ,604,2556,,1,,0,,,1,2556
248,2020/12/24 15:00:00+00,Baltimore City                                    ,430,2986,,1,,0,,,1,2986
249,2020/12/25 15:00:00+00,Baltimore City                                    ,14,3000,1,2,,0,,,2,3000
250,2020/12/26 15:00:00+00,Baltimore City                                    ,187,3187,,2,,0,,,2,3187
251,2020/12/27 15:00:00+00,Baltimore City                                    ,143,3330,,2,,0,,,2,3330
252,2020/12/28 15:00:00+00,Baltimore City                                    ,1298,4628,2,4,,0,,,4,4628
253,2020/12/29 15:00:00+00,Baltimore City                                    ,1207,5835,1,5,,0,,,5,5835
254,2020/12/30 15:00:00+00,Baltimore City                                    ,1067,6902,,5,,0,,,5,6902
255,2020/12/31 15:00:00+00,Baltimore City                                    ,683,7585,,5,,0,,,5,7585
256,2021/01/01 15:00:00+00,Baltimore City                                    ,114,7699,,5,,0,,,5,7699
257,2021/01/02 15:00:00+00,Baltimore City                                    ,535,8234,12,17,,0,,,17,8234
258,2021/01/03 15:00:00+00,Baltimore City                                    ,429,8663,30,47,,0,,,47,8663
259,2021/01/04 15:00:00+00,Baltimore City                                    ,1177,9840,85,132,,0,,,132,9840
260,2021/01/05 15:00:00+00,Baltimore City                                    ,1306,11146,86,218,,0,,,218,11146
261,2021/01/06 15:00:00+00,Baltimore City                                    ,1181,12327,190,408,,0,,,408,12327
262,2021/01/07 15:00:00+00,Baltimore City                                    ,1298,13625,271,679,,0,,,679,13625
263,2021/01/08 15:00:00+00,Baltimore City                                    ,1279,14904,298,977,,0,,,977,14904
264,2021/01/09 15:00:00+00,Baltimore City                                    ,383,15287,142,1119,,0,,,1119,15287
265,2021/01/10 15:00:00+00,Baltimore City                                    ,278,15565,63,1182,,0,,,1182,15565
266,2021/01/11 15:00:00+00,Baltimore City                                    ,1515,17080,466,1648,,0,,,1648,17080
267,2021/01/12 15:00:00+00,Baltimore City                                    ,1641,18721,516,2164,,0,,,2164,18721
268,2021/01/13 15:00:00+00,Baltimore City                                    ,1436,20157,375,2539,,0,,,2539,20157
269,2021/01/14 15:00:00+00,Baltimore City                                    ,1707,21864,353,2892,,0,,,2892,21864
270,2021/01/15 15:00:00+00,Baltimore City                                    ,1370,23234,160,3052,,0,,,3052,23234
271,2021/01/16 15:00:00+00,Baltimore City                                    ,490,23724,287,3339,,0,,,3339,23724
272,2021/01/17 15:00:00+00,Baltimore City                                    ,233,23957,217,3556,,0,,,3556,23957
