OBJECTID,VACCINATION_DATE,County,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative,AtLeastOneDose,FullyVaccinated,FullVaccinatedCumulative,AtLeastOneDoseCumulative
2303,2021/03/18 15:00:00+00,Caroline                                          ,191,7139,33,4256,39,446,230,72,4702,7585
2304,2021/03/19 15:00:00+00,Caroline                                          ,238,7377,38,4294,30,476,268,68,4770,7853
2305,2021/03/20 15:00:00+00,Caroline                                          ,38,7415,4,4298,3,479,41,7,4777,7894
2306,2021/03/21 15:00:00+00,Caroline                                          ,22,7437,2,4300,3,482,25,5,4782,7919
2307,2021/03/22 15:00:00+00,Caroline                                          ,35,7472,8,4308,20,502,55,28,4810,7974
2308,2021/03/23 15:00:00+00,Caroline                                          ,62,7534,7,4315,35,537,97,42,4852,8071
2309,2021/03/24 15:00:00+00,Caroline                                          ,99,7633,171,4486,3,540,102,174,5026,8173
2310,2021/03/25 15:00:00+00,Caroline                                          ,420,8053,158,4644,3,543,423,161,5187,8596
2311,2021/03/26 15:00:00+00,Caroline                                          ,65,8118,299,4943,4,547,69,303,5490,8665
2312,2021/03/27 15:00:00+00,Caroline                                          ,32,8150,7,4950,8,555,40,15,5505,8705
2313,2021/03/28 15:00:00+00,Caroline                                          ,33,8183,9,4959,3,558,36,12,5517,8741
2314,2021/03/29 15:00:00+00,Caroline                                          ,79,8262,18,4977,19,577,98,37,5554,8839
2315,2021/03/30 15:00:00+00,Caroline                                          ,80,8342,30,5007,42,619,122,72,5626,8961
2316,2021/03/31 15:00:00+00,Caroline                                          ,89,8431,106,5113,49,668,138,155,5781,9099
2317,2021/04/01 15:00:00+00,Caroline                                          ,192,8623,262,5375,51,719,243,313,6094,9342
2318,2021/04/02 15:00:00+00,Caroline                                          ,103,8726,486,5861,43,762,146,529,6623,9488
2319,2021/04/03 15:00:00+00,Caroline                                          ,47,8773,22,5883,66,828,113,88,6711,9601
2320,2021/04/04 15:00:00+00,Caroline                                          ,14,8787,12,5895,42,870,56,54,6765,9657
2321,2021/04/05 15:00:00+00,Caroline                                          ,40,8827,23,5918,186,1056,226,209,6974,9883
2322,2021/04/06 15:00:00+00,Caroline                                          ,56,8883,30,5948,193,1249,249,223,7197,10132
2323,2021/04/07 15:00:00+00,Caroline                                          ,43,8926,28,5976,186,1435,229,214,7411,10361
2324,2021/04/08 15:00:00+00,Caroline                                          ,56,8982,246,6222,598,2033,654,844,8255,11015
2325,2021/04/09 15:00:00+00,Caroline                                          ,113,9095,316,6538,148,2181,261,464,8719,11276
2326,2021/02/27 15:00:00+00,Charles                                           ,173,17556,54,8559,,0,,,8559,17556
2327,2021/02/28 15:00:00+00,Charles                                           ,218,17774,79,8638,,0,,,8638,17774
