OBJECTID,DATE,Count_
161,2020/08/11 10:00:00+00,96843
162,2020/08/12 10:00:00+00,97384
163,2020/08/13 10:00:00+00,98160
164,2020/08/14 10:00:00+00,98875
165,2020/08/15 10:00:00+00,99693
166,2020/08/16 10:00:00+00,100212
167,2020/08/17 10:00:00+00,100715
168,2020/08/18 10:00:00+00,101235
169,2020/08/19 10:00:00+00,101649
170,2020/08/20 10:00:00+00,102229
171,2020/08/21 10:00:00+00,102899
172,2020/08/22 10:00:00+00,103523
173,2020/08/23 10:00:00+00,104102
174,2020/08/24 10:00:00+00,104669
175,2020/08/25 10:00:00+00,105046
176,2020/08/26 10:00:00+00,105486
177,2020/08/27 10:00:00+00,106063
178,2020/08/28 10:00:00+00,106664
179,2020/08/29 10:00:00+00,107294
180,2020/08/30 10:00:00+00,107791
181,2020/08/31 10:00:00+00,108249
182,2020/09/01 10:00:00+00,108863
183,2020/09/02 10:00:00+00,109319
184,2020/09/03 10:00:00+00,110012
185,2020/09/04 10:00:00+00,110831
186,2020/09/05 10:00:00+00,111607
187,2020/09/06 10:00:00+00,112119
188,2020/09/07 10:00:00+00,112883
189,2020/09/08 10:00:00+00,113239
190,2020/09/09 10:00:00+00,113575
191,2020/09/10 10:00:00+00,114078
192,2020/09/11 10:00:00+00,114724
193,2020/09/12 10:00:00+00,115533
194,2020/09/13 10:00:00+00,116110
195,2020/09/14 10:00:00+00,116646
196,2020/09/15 10:00:00+00,117245
197,2020/09/16 10:00:00+00,117888
198,2020/09/17 10:00:00+00,118519
199,2020/09/18 10:00:00+00,119062
200,2020/09/19 10:00:00+00,119744
201,2020/09/20 10:00:00+00,120156
202,2020/09/21 10:00:00+00,120568
203,2020/09/22 10:00:00+00,120912
204,2020/09/23 10:00:00+00,121297
205,2020/09/24 10:00:00+00,121800
206,2020/09/25 10:00:00+00,122359
207,2020/09/26 10:00:00+00,122972
208,2020/09/27 10:00:00+00,123403
209,2020/09/28 10:00:00+00,123880
210,2020/09/29 10:00:00+00,124311
211,2020/09/30 10:00:00+00,124725
212,2020/10/01 10:00:00+00,125510
213,2020/10/02 10:00:00+00,126222
214,2020/10/03 10:00:00+00,126819
